ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,1113,,1113,,2802,,1113,,1240,,,UNITED STATES
NEW ENGLAND,2017,1,41,,41,,87,,41,,38,,,NEW ENGLAND
MID. ATLANTIC,2017,1,237,,237,,364,,237,,156,,,MID. ATLANTIC
NEW YORK CITY,2017,1,140,,136,,161,,140,,90,,NEW YORK CITY,
E.N. CENTRAL,2017,1,117,,117,,229,,117,,102,,,E.N. CENTRAL
W.N. CENTRAL,2017,1,39,,39,,116,,39,,57,,,W.N. CENTRAL
S. ATLANTIC,2017,1,175,,175,,504,,175,,230,,,S. ATLANTIC
DIST. OF COL.,2017,1,6,,4,,6,,6,,8,,DIST. OF COL.,
E.S. CENTRAL,2017,1,94,,87,,122,,94,,34,,,E.S. CENTRAL
W.S. CENTRAL,2017,1,64,,64,,413,,64,,232,,,W.S. CENTRAL
MOUNTAIN,2017,1,42,,42,,258,,42,,18,,,MOUNTAIN
PACIFIC,2017,1,304,,304,,744,,304,,373,,,PACIFIC
AMER. SAMOA,2017,1,,-,0,,1,,,-,,-,AMER. SAMOA,
C.N.M.I.,2017,1,5,,5,,7,,5,,8,,C.N.M.I.,
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEBRASKA,2017,1,4,,3,,16,,4,,1,,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2017,1,22,,22,,59,,22,,13,,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,1,20,,20,,34,,20,,25,,"HAWAII
(21.30992, -157.858158)",
FLORIDA,2017,1,68,,68,,167,,68,,102,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2017,1,12,,12,,81,,12,,21,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,1,,-,0,,2,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2017,1,7,,7,,33,,7,,15,,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,1,238,,238,,623,,238,,298,,"CALIFORNIA
(37.640735, -121.002435)",
DELAWARE,2017,1,3,,3,,7,,3,,2,,"DELAWARE
(39.008676, -75.574561)",
PENNSYLVANIA,2017,1,33,,33,,45,,33,,24,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2017,1,5,,5,,19,,5,,6,,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,1,25,,25,,64,,25,,25,,"WASHINGTON
(47.517368, -120.467672)",
WEST VIRGINIA,2017,1,3,,3,,5,,3,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,1,9,,9,,42,,9,,20,,"MICHIGAN
(44.66399, -84.711206)",
OREGON,2017,1,13,,13,,20,,13,,13,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,1,31,,31,,122,,31,,23,,"NEW JERSEY
(40.104655, -74.386686)",
GEORGIA,2017,1,34,,34,,84,,34,,50,,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2017,1,,-,0,,10,,,-,8,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2017,1,12,,12,,29,,12,,10,,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2017,1,13,,13,,35,,13,,19,,"LOUISIANA
(31.2931, -92.463284)",
MASSACHUSETTS,2017,1,26,,26,,56,,26,,25,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW MEXICO,2017,1,2,,2,,14,,2,,1,,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2017,1,3,,1,,5,,3,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2017,1,21,,21,,79,,21,,14,,"VIRGINIA
(37.542699, -78.45822)",
MONTANA,2017,1,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2017,1,22,,22,,80,,22,,18,,"MARYLAND
(39.290443, -76.612333)",
NEW HAMPSHIRE,2017,1,2,,2,,5,,2,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2017,1,4,,4,,16,,4,,5,,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2017,1,11,,4,,11,,11,,4,,"UTAH
(39.359772, -111.584173)",
IDAHO,2017,1,2,,2,,11,,2,,,-,"IDAHO
(43.680635, -114.364237)",
ARIZONA,2017,1,,-,0,,188,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2017,1,23,,23,,34,,23,,10,,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2017,1,33,,33,,70,,33,,19,,"NEW YORK
(42.826892, -75.544286)",
SOUTH DAKOTA,2017,1,5,,2,,5,,5,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TENNESSEE,2017,1,34,,20,,36,,34,,11,,"TENNESSEE
(35.681402, -85.774444)",
MINNESOTA,2017,1,19,,19,,59,,19,,14,,"MINNESOTA
(46.357661, -94.793397)",
OKLAHOMA,2017,1,9,,9,,27,,9,,7,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH CAROLINA,2017,1,6,,6,,31,,6,,13,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2017,1,5,,5,,8,,5,,2,,"MAINE
(45.252223, -68.986647)",
WYOMING,2017,1,1,,0,,1,,1,,1,,"WYOMING
(43.23558, -108.110518)",
ILLINOIS,2017,1,59,,59,,85,,59,,54,,"ILLINOIS
(40.477092, -88.993221)",
PUERTO RICO,2017,1,8,,8,,32,,8,,4,,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,1,7,,7,,20,,7,,11,,"COLORADO
(38.841772, -106.132562)",
IOWA,2017,1,1,,1,,15,,1,,11,,"IOWA
(42.46942, -93.815856)",
TEXAS,2017,1,30,,30,,328,,30,,196,,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2017,1,19,,19,,33,,19,,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2017,1,19,,15,,20,,19,,1,,"NEVADA
(39.491833, -117.070159)",
NORTH DAKOTA,2017,1,3,,3,,6,,3,,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2017,1,3,,3,,22,,3,,7,,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2017,1,,-,0,,25,,,-,11,,"GUAM
(13.3532, 144.653198)",
ALABAMA,2017,1,38,,27,,38,,38,,16,,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2017,1,8,,8,,15,,8,,12,,"ALASKA
(64.836661, -147.738891)",
C.N.M.I.,2017,2,8,,4,,9,,17,,16,,C.N.M.I.,
KANSAS,2017,2,,-,0,,9,,,-,21,,"KANSAS
(38.345528, -98.201847)",
VERMONT,2017,2,,-,0,,2,,1,,2,,"VERMONT
(43.622479, -72.51927)",
IDAHO,2017,2,,-,0,,11,,2,,5,,"IDAHO
(43.680635, -114.364237)",
W.S. CENTRAL,2017,2,222,,222,,384,,502,,782,,,W.S. CENTRAL
UTAH,2017,2,6,,6,,13,,19,,8,,"UTAH
(39.359772, -111.584173)",
WYOMING,2017,2,,-,0,,0,,,-,1,,"WYOMING
(43.23558, -108.110518)",
GUAM,2017,2,5,,5,,25,,18,,34,,"GUAM
(13.3532, 144.653198)",
AMER. SAMOA,2017,2,,-,0,,1,,,-,,-,AMER. SAMOA,
PENNSYLVANIA,2017,2,39,,36,,51,,90,,85,,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2017,2,2,,1,,3,,5,,8,,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2017,2,19,,16,,20,,35,,34,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2017,2,56,,34,,122,,90,,100,,"NEW JERSEY
(40.104655, -74.386686)",
INDIANA,2017,2,21,,21,,34,,44,,49,,"INDIANA
(39.76845, -86.156212)",
NEW YORK,2017,2,46,,35,,69,,81,,90,,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2017,2,,-,0,,6,,4,,12,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALASKA,2017,2,14,,9,,14,,23,,33,,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,2,4,,3,,4,,8,,10,,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,2,20,,20,,34,,53,,52,,"HAWAII
(21.30992, -157.858158)",
VIRGIN ISL.,2017,2,,-,0,,0,,,-,,-,VIRGIN ISL.,
MOUNTAIN,2017,2,59,,49,,258,,160,,83,,,MOUNTAIN
UNITED STATES,2017,2,1545,,1545,,2795,,3327,,4193,,,UNITED STATES
IOWA,2017,2,,-,0,,11,,1,,27,,"IOWA
(42.46942, -93.815856)",
MISSISSIPPI,2017,2,13,,9,,22,,22,,24,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK CITY,2017,2,155,,137,,155,,295,,284,,NEW YORK CITY,
FLORIDA,2017,2,72,,72,,164,,199,,314,,"FLORIDA
(28.915325, -81.922409)",
ILLINOIS,2017,2,68,,68,,85,,146,,163,,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2017,2,4,,4,,33,,20,,45,,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2017,2,13,,13,,33,,32,,33,,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2017,2,8,,8,,32,,16,,23,,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2017,2,13,,10,,31,,23,,45,,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2017,2,44,,23,,79,,67,,76,,"VIRGINIA
(37.542699, -78.45822)",
E.S. CENTRAL,2017,2,76,,76,,122,,175,,158,,,E.S. CENTRAL
WEST VIRGINIA,2017,2,3,,3,,5,,7,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
MICHIGAN,2017,2,13,,13,,42,,31,,63,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2017,2,5,,5,,16,,14,,28,,"CONNECTICUT
(41.544654, -72.651713)",
COLORADO,2017,2,17,,11,,18,,30,,35,,"COLORADO
(38.841772, -106.132562)",
W.N. CENTRAL,2017,2,48,,48,,109,,99,,200,,,W.N. CENTRAL
MINNESOTA,2017,2,39,,19,,59,,58,,69,,"MINNESOTA
(46.357661, -94.793397)",
DIST. OF COL.,2017,2,7,,4,,7,,14,,17,,DIST. OF COL.,
NORTH CAROLINA,2017,2,31,,29,,80,,60,,79,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2017,2,16,,15,,19,,32,,21,,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,2,3,,3,,16,,11,,14,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,2,11,,10,,18,,21,,42,,"OKLAHOMA
(35.468494, -97.521264)",
NEBRASKA,2017,2,3,,3,,6,,8,,19,,"NEBRASKA
(41.640503, -99.367122)",
PACIFIC,2017,2,388,,388,,739,,870,,1144,,,PACIFIC
MASSACHUSETTS,2017,2,27,,27,,56,,65,,80,,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2017,2,184,,184,,311,,410,,635,,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2017,2,12,,0,,188,,60,,,-,"ARIZONA
(34.869712, -111.760902)",
NEW MEXICO,2017,2,6,,6,,14,,14,,12,,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2017,2,2,,2,,8,,7,,10,,"MAINE
(45.252223, -68.986647)",
ALABAMA,2017,2,22,,22,,37,,59,,54,,"ALABAMA
(32.839182, -86.631125)",
WASHINGTON,2017,2,,-,0,,54,,25,,101,,"WASHINGTON
(47.517368, -120.467672)",
NEW ENGLAND,2017,2,40,,40,,87,,100,,134,,,NEW ENGLAND
TENNESSEE,2017,2,28,,20,,36,,62,,47,,"TENNESSEE
(35.681402, -85.774444)",
S. ATLANTIC,2017,2,276,,276,,503,,572,,789,,,S. ATLANTIC
CALIFORNIA,2017,2,335,,335,,617,,734,,924,,"CALIFORNIA
(37.640735, -121.002435)",
OHIO,2017,2,35,,26,,58,,61,,55,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,2,46,,46,,83,,114,,152,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2017,2,2,,2,,6,,8,,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
LOUISIANA,2017,2,6,,6,,35,,36,,62,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,2,2,,1,,2,,3,,1,,"MONTANA
(47.062617, -109.430168)",
ARKANSAS,2017,2,21,,14,,27,,35,,43,,"ARKANSAS
(34.748745, -92.275105)",
NEW HAMPSHIRE,2017,2,4,,4,,5,,8,,6,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
E.N. CENTRAL,2017,2,140,,140,,229,,293,,344,,,E.N. CENTRAL
MID. ATLANTIC,2017,2,296,,260,,364,,556,,559,,,MID. ATLANTIC
MARYLAND,2017,2,56,,24,,80,,80,,91,,"MARYLAND
(39.290443, -76.612333)",
UTAH,2017,3,2,,2,,13,,21,,14,,"UTAH
(39.359772, -111.584173)",
COLORADO,2017,3,14,,13,,28,,55,,46,,"COLORADO
(38.841772, -106.132562)",
IOWA,2017,3,,-,0,,6,,1,,38,,"IOWA
(42.46942, -93.815856)",
OREGON,2017,3,10,,10,,21,,47,,50,,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,3,,-,0,,2,,3,,2,,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2017,3,21,,19,,42,,74,,91,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2017,3,76,,76,,161,,329,,478,,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2017,3,42,,19,,59,,100,,109,,"MINNESOTA
(46.357661, -94.793397)",
IDAHO,2017,3,,-,0,,11,,4,,7,,"IDAHO
(43.680635, -114.364237)",
E.N. CENTRAL,2017,3,132,,132,,229,,492,,522,,,E.N. CENTRAL
ARIZONA,2017,3,11,,11,,188,,93,,,-,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2017,3,106,,106,,304,,632,,946,,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2017,3,64,,64,,70,,203,,235,,"GEORGIA
(32.836038, -83.631709)",
PENNSYLVANIA,2017,3,36,,36,,54,,141,,130,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2017,3,19,,16,,19,,51,,36,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2017,3,7,,7,,13,,24,,26,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2017,3,5,,5,,22,,38,,79,,"MISSOURI
(38.636168, -92.566292)",
NEW ENGLAND,2017,3,69,,57,,88,,192,,210,,,NEW ENGLAND
SOUTH CAROLINA,2017,3,23,,10,,26,,47,,76,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2017,3,1,,1,,6,,12,,22,,"NEBRASKA
(41.640503, -99.367122)",
NORTH CAROLINA,2017,3,46,,29,,80,,127,,137,,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2017,3,25,,21,,34,,69,,75,,"INDIANA
(39.76845, -86.156212)",
MISSISSIPPI,2017,3,16,,9,,22,,40,,39,,"MISSISSIPPI
(32.738663, -89.537312)",
HAWAII,2017,3,24,,24,,36,,90,,85,,"HAWAII
(21.30992, -157.858158)",
DIST. OF COL.,2017,3,7,,4,,9,,23,,21,,DIST. OF COL.,
KANSAS,2017,3,1,,1,,9,,12,,30,,"KANSAS
(38.345528, -98.201847)",
MOUNTAIN,2017,3,53,,53,,257,,253,,132,,,MOUNTAIN
WYOMING,2017,3,,-,0,,2,,2,,1,,"WYOMING
(43.23558, -108.110518)",
W.N. CENTRAL,2017,3,57,,57,,110,,184,,305,,,W.N. CENTRAL
VIRGINIA,2017,3,45,,24,,77,,115,,126,,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2017,3,33,,23,,37,,93,,81,,"ALABAMA
(32.839182, -86.631125)",
MAINE,2017,3,5,,2,,5,,12,,18,,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2017,3,1,,1,,6,,10,,10,,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2017,3,5,,2,,5,,10,,9,,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2017,3,1,,0,,3,,2,,3,,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2017,3,56,,24,,80,,138,,140,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2017,3,48,,36,,69,,130,,133,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,3,3,,3,,12,,24,,23,,C.N.M.I.,
S. ATLANTIC,2017,3,327,,307,,500,,1007,,1235,,,S. ATLANTIC
CONNECTICUT,2017,3,12,,12,,16,,36,,36,,"CONNECTICUT
(41.544654, -72.651713)",
GUAM,2017,3,,-,0,,25,,18,,50,,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2017,3,9,,9,,16,,30,,24,,"WISCONSIN
(44.395526, -89.834513)",
PACIFIC,2017,3,381,,381,,740,,1445,,1763,,,PACIFIC
ARKANSAS,2017,3,24,,14,,27,,63,,64,,"ARKANSAS
(34.748745, -92.275105)",
VIRGIN ISL.,2017,3,,-,0,,0,,,-,,-,VIRGIN ISL.,
KENTUCKY,2017,3,16,,13,,33,,48,,58,,"KENTUCKY
(37.64591, -84.774043)",
MASSACHUSETTS,2017,3,43,,36,,56,,121,,134,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW HAMPSHIRE,2017,3,3,,3,,5,,11,,10,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH DAKOTA,2017,3,7,,0,,7,,11,,17,,"NORTH DAKOTA
(47.475879, -100.121011)",
MID. ATLANTIC,2017,3,335,,261,,357,,904,,863,,,MID. ATLANTIC
UNITED STATES,2017,3,1606,,1606,,2787,,5559,,6437,,,UNITED STATES
WEST VIRGINIA,2017,3,7,,3,,7,,14,,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW YORK CITY,2017,3,172,,130,,172,,463,,428,,NEW YORK CITY,
PUERTO RICO,2017,3,10,,8,,32,,26,,37,,"PUERTO RICO
(18.215692, -66.414655)",
AMER. SAMOA,2017,3,,-,0,,1,,,-,,-,AMER. SAMOA,
OHIO,2017,3,25,,25,,58,,93,,84,,"OHIO
(40.056807, -82.405897)",
NEW JERSEY,2017,3,79,,33,,122,,170,,172,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2017,3,12,,12,,39,,76,,92,,"LOUISIANA
(31.2931, -92.463284)",
W.S. CENTRAL,2017,3,156,,156,,384,,808,,1162,,,W.S. CENTRAL
CALIFORNIA,2017,3,340,,340,,616,,1250,,1432,,"CALIFORNIA
(37.640735, -121.002435)",
ILLINOIS,2017,3,52,,52,,96,,226,,248,,"ILLINOIS
(40.477092, -88.993221)",
E.S. CENTRAL,2017,3,96,,79,,122,,274,,245,,,E.S. CENTRAL
DELAWARE,2017,3,3,,3,,4,,11,,13,,"DELAWARE
(39.008676, -75.574561)",
WASHINGTON,2017,3,,-,0,,54,,25,,153,,"WASHINGTON
(47.517368, -120.467672)",
TENNESSEE,2017,3,31,,28,,36,,93,,67,,"TENNESSEE
(35.681402, -85.774444)",
OKLAHOMA,2017,3,14,,11,,18,,37,,60,,"OKLAHOMA
(35.468494, -97.521264)",
ALASKA,2017,3,7,,7,,17,,33,,43,,"ALASKA
(64.836661, -147.738891)",
CONNECTICUT,2017,4,6,,6,,19,,51,,52,,"CONNECTICUT
(37.937331, -75.371098)",
UNITED STATES,2017,4,1613,,1613,,2213,,7831,,9224,,,UNITED STATES
UTAH,2017,4,,-,0,,13,,21,,20,,"UTAH
(39.060799, -84.898102)",
ALABAMA,2017,4,29,,23,,37,,121,,112,,"ALABAMA
(43.09641, -78.390997)",
GEORGIA,2017,4,47,,47,,79,,269,,300,,"GEORGIA
(40.187199, -74.285004)",
INDIANA,2017,4,33,,21,,33,,100,,109,,"INDIANA
(40.622982, -79.156034)",
PENNSYLVANIA,2017,4,46,,36,,55,,188,,166,,"PENNSYLVANIA
(30.8731, -88.047501)",
COLORADO,2017,4,22,,13,,28,,78,,64,,"COLORADO
(39.014418, -97.974853)",
WYOMING,2017,4,,-,0,,2,,2,,1,,"WYOMING
(42.913415, -85.695442)",
WISCONSIN,2017,4,10,,10,,15,,49,,40,,"WISCONSIN
(43.645565, -94.934258)",
RHODE ISLAND,2017,4,1,,1,,6,,12,,12,,"RHODE ISLAND
(42.678902, -75.800003)",
MISSOURI,2017,4,7,,7,,20,,62,,99,,"MISSOURI
(46.693474, -100.627524)",
TEXAS,2017,4,149,,149,,299,,940,,1252,,"TEXAS
(42.165298, -71.892799)",
NEW ENGLAND,2017,4,73,,66,,91,,297,,298,,,NEW ENGLAND
WASHINGTON,2017,4,,-,0,,25,,25,,207,,"WASHINGTON
(38.892062, -77.019912)",
MICHIGAN,2017,4,21,,19,,34,,107,,133,,"MICHIGAN
(48.029029, -98.121159)",
W.N. CENTRAL,2017,4,47,,47,,91,,289,,414,,,W.N. CENTRAL
MISSISSIPPI,2017,4,11,,9,,16,,51,,61,,"MISSISSIPPI
(34.06035, -91.018708)",
HAWAII,2017,4,9,,9,,34,,103,,119,,"HAWAII
(47.749401, -124.405296)",
ILLINOIS,2017,4,28,,28,,96,,254,,327,,"ILLINOIS
(47.976684, -98.483295)",
IDAHO,2017,4,2,,0,,4,,9,,18,,"IDAHO
(33.3172, -85.934196)",
MAINE,2017,4,1,,1,,6,,14,,23,,"MAINE
(46.415823, -95.821489)",
AMER. SAMOA,2017,4,1,,0,,1,,1,,1,,"AMER. SAMOA
(42.375805, -72.519871)",
CALIFORNIA,2017,4,375,,375,,537,,1830,,2048,,"CALIFORNIA
(40.067097, -79.894911)",
OKLAHOMA,2017,4,8,,8,,14,,46,,78,,"OKLAHOMA
(40.58151, -79.573902)",
MARYLAND,2017,4,33,,24,,58,,172,,220,,"MARYLAND
(42.536651, -74.886746)",
VERMONT,2017,4,1,,0,,1,,3,,6,,"VERMONT
(43.07516, -89.774973)",
NEVADA,2017,4,21,,16,,21,,72,,55,,"NEVADA
(37.837233, -94.359373)",
LOUISIANA,2017,4,31,,29,,42,,135,,127,,"LOUISIANA
(39.44358, -91.060313)",
MASSACHUSETTS,2017,4,58,,43,,58,,200,,190,,"MASSACHUSETTS
(30.5944, -84.041397)",
IOWA,2017,4,6,,6,,16,,43,,45,,"IOWA
(30.236799, -93.013604)",
TENNESSEE,2017,4,28,,28,,34,,121,,103,,"TENNESSEE
(40.412679, -90.83704)",
NORTH CAROLINA,2017,4,39,,29,,52,,166,,217,,"NORTH CAROLINA
(42.319405, -87.856097)",
NEW HAMPSHIRE,2017,4,6,,3,,6,,17,,15,,"NEW HAMPSHIRE
(40.555601, -83.952181)",
NEW YORK CITY,2017,4,147,,141,,169,,607,,558,,"NEW YORK CITY
(40.713054, -74.007228)",
OREGON,2017,4,12,,11,,22,,61,,70,,"OREGON
(42.925797, -89.383942)",
KANSAS,2017,4,,-,0,,7,,12,,39,,"KANSAS
(39.099792, -94.578559)",
VIRGINIA,2017,4,60,,24,,60,,175,,203,,"VIRGINIA
(47.523153, -92.538658)",
W.S. CENTRAL,2017,4,202,,202,,370,,1203,,1548,,,W.S. CENTRAL
OHIO,2017,4,54,,26,,54,,149,,142,,"OHIO
(41.557557, -89.461597)",
MOUNTAIN,2017,4,82,,82,,112,,376,,389,,,MOUNTAIN
MONTANA,2017,4,,-,0,,2,,3,,4,,"MONTANA
(37.275443, -95.122146)",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,"VIRGIN ISL.
(36.845117, -75.975518)",
SOUTH DAKOTA,2017,4,3,,1,,6,,13,,12,,"SOUTH DAKOTA
(37.957541, -121.292451)",
DELAWARE,2017,4,1,,1,,5,,13,,16,,"DELAWARE
(40.301498, -83.067539)",
ARKANSAS,2017,4,14,,14,,29,,82,,91,,"ARKANSAS
(39.074402, -78.729401)",
NEW YORK,2017,4,41,,37,,49,,173,,202,,"NEW YORK
(40.713054, -74.007228)",
WEST VIRGINIA,2017,4,,-,0,,7,,15,,14,,"WEST VIRGINIA
(47.515598, -92.57)",
FLORIDA,2017,4,75,,75,,144,,481,,639,,"FLORIDA
(42.693209, -73.054184)",
PUERTO RICO,2017,4,3,,3,,11,,29,,69,,"PUERTO RICO
(26.6492, -98.345299)",
MINNESOTA,2017,4,31,,19,,43,,132,,168,,"MINNESOTA
(31.311701, -83.910301)",
KENTUCKY,2017,4,14,,13,,19,,62,,91,,"KENTUCKY
(34.608189, -92.628314)",
NEBRASKA,2017,4,,-,0,,6,,15,,28,,"NEBRASKA
(39.063599, -85.459396)",
NEW MEXICO,2017,4,9,,8,,9,,34,,39,,"NEW MEXICO
(46.212676, -91.044251)",
NORTH DAKOTA,2017,4,,-,0,,8,,12,,23,,"NORTH DAKOTA
(42.319405, -87.856097)",
SOUTH CAROLINA,2017,4,,-,0,,23,,47,,102,,"SOUTH CAROLINA
(37.108284, -113.583277)",
C.N.M.I.,2017,4,,-,0,,12,,26,,27,,"C.N.M.I.
(41.14024, -104.818802)",
PACIFIC,2017,4,405,,405,,610,,2061,,2501,,,PACIFIC
E.N. CENTRAL,2017,4,146,,146,,208,,659,,751,,,E.N. CENTRAL
NEW JERSEY,2017,4,81,,35,,81,,254,,294,,"NEW JERSEY
(36.882419, -97.053633)",
DIST. OF COL.,2017,4,6,,6,,10,,31,,25,,"DIST. OF COL.
(39.5247, -79.016899)",
E.S. CENTRAL,2017,4,82,,79,,99,,355,,367,,,E.S. CENTRAL
S. ATLANTIC,2017,4,261,,261,,415,,1369,,1736,,,S. ATLANTIC
MID. ATLANTIC,2017,4,315,,264,,331,,1222,,1220,,,MID. ATLANTIC
GUAM,2017,4,1,,1,,16,,37,,75,,"GUAM
(36.901901, -89.823601)",
ALASKA,2017,4,9,,7,,17,,42,,57,,"ALASKA
(44.5406, -87.501099)",
ARIZONA,2017,4,28,,28,,55,,157,,188,,"ARIZONA
(32.788898, -92.957497)",
